codigo denominacion precio cantidad
1 martillo............ 52.50 1000
2 maza................ 66.67 1000
3 destornillador...... 10.54 1000
4 tenaza.............. 34.67 1000
5 pinza............... 120.45 1000
6 llave.de.apriete.... 45.55 1000
7 llave.de.vaso....... 56.77 1000
8 llave.acodada....... 77.90 1000
9 punta............... 12.78 1000
10 alicate............. 13.45 1000
11 mordaza............. 23.34 1000
12 escofina............ 110.56 1000
13 lima................ 33.55 1000
14 extractor........... 67.99 1000
15 remachadora......... 123.67 1000 
0 No.existe........... 0 0
